nom,editeur,description,image
Paper Tales,Catch Up Games,"Ouvrez le livre des siècles oubliés pour revivre des temps héroïques, peuplés de créatures fantastiques. Développez votre Royaume à travers les Âges et mesurez-vous à vos adversaires pour écrire votre légende !",https://cdn3.philibertnet.com/552750-large_default/paper-tales-edition-integrale.jpg
Forteresse,Smart Games,Forteresse est un jeu de logique dans lequel le joueur doit défense son donjon en repoussant les envahisseurs. La boîte comprend 80 défis de difficulté croissante.,https://cdn1.philibertnet.com/501391-large_default/forteresse.jpg
L'Aventurier,Smart Games,L'Aventurier est un casse-tête comprenant 60 défis répartis en 4 niveaux pour tous âges qui vous fera vivre de riches moments de remue-méninges.,https://cdn2.philibertnet.com/317962-large_default/l-aventurier.jpg
Lièvres et renards,Smart Games,Lièvres & Renards est un jeu de logique et de réflexion pour un joueur dans lequel il faut aider les lièvres à rejoindre leur gîte. Le coffret propose 60 défis de niveau de difficulté croissant.,https://cdn3.philibertnet.com/501630-large_default/lievres-renards.jpg
La Nuit des Fantômes,Smart Games,La Nuit des Fantômes est un jeu de casse-tête dans lequel les joueurs ont pour objectif d'éclairer tous les fantômes se trouvant dans la maison. Le jeu propose 60 défis évolutifs proposés.,https://cdn1.philibertnet.com/501407-large_default/la-nuit-des-fantomes.jpg
Les 3 petits cochons,Smart Games,Les Trois Petits Cochons est un jeu de réflexion pour enfants dans lequel les joueurs doivent placer les maisons pour que les cochons jouent à l'extérieur ou se protègent du loup selon la situation.,https://cdn3.philibertnet.com/501403-large_default/trois-petits-cochons-deluxe.jpg
Bahuts malins,Smart Games,"Les trois camions Groseille, Citron et Pruneau sont en route vers leur prochaine destination. Pouvez-vous les aider à tout emporter ?",https://cdn2.philibertnet.com/315132-large_default/trucky-3-bahuts-malins.jpg
Camelot Jr,Smart Games,"Construisez avec les tours et les escaliers, comme indiqué dans le défi, un chemin qui mènera le chevalier auprès de sa princesse.",https://cdn1.philibertnet.com/311037-large_default/camelot-junior.jpg
Le Petit Chaperon Rouge,Smart Games,Petit Chaperon Rouge Deluxe est un jeu de réflexion idéal pour les jeunes enfants qui devront se creuser les méninges pour résoudre un à un les 24 défis de difficulté croissante.,https://cdn3.philibertnet.com/501399-large_default/petit-chaperon-rouge-deluxe.jpg
IQ-Fit,Smart Games,"Affutez vos neurones, avec IQ Fit de Smart Gmes, pour résoudre les défis de ce jeu de réflexion déconcertant qui comprend 120 défis et 5 niveaux de difficulté.",https://cdn3.philibertnet.com/401746-large_default/iq-fit.jpg
IQ-Link,Smart Games,"IQ-Link est un jeu de voyage compact et le jeu de réflexion le plus complexe dans la série IQ de SmartGames. Placez toutes les pièces du puzzle sur le plateau de jeu... Enfin, si vous y arrivez !",https://cdn2.philibertnet.com/401707-large_default/iq-link.jpg
IQ-Puzzler,Smart Games,IQ Puzzler Pro est coffret de casse-têtes de l'éditeur SmartGames proposant 120 défis déclinés sous trois modes de jeu. Ce jeu aux multiples facettes offre aux joueurs de relever aussi bien des défis en 2D qu'en 3D!,https://cdn3.philibertnet.com/401760-large_default/iq-puzzler-pro.jpg
Alerte ! Astéroïdes,Smart Games,Alerte ! Astéroïdes est un jeu de casse-tête sur le thème de l'espace comportant 60 défis à résoudre de différents niveaux. Sortirez-vous indemne du champ d'astéroïdes ?,https://cdn1.philibertnet.com/402492-large_default/alerte-asteroides.jpg
Cache Noisettes !,Smart Games,Cache Noisette ! est un jeu de logique qui contient 60 défis de niveaux différents. Résolvez un à un chaque défi proposé en réalisant les schémas démandés.,https://cdn2.philibertnet.com/402483-large_default/cache-noisette-.jpg
Little Action,Djeco,"Little action est un jeu d'action, de manipulation et d'adresse pour les petits. Les joueurs devront réussir une multitude de petits défis pour gagner des médailles.",https://cdn1.philibertnet.com/458287-large_default/little-action.jpg
Woolfy,Djeco,Les joueurs cherchent à construire la maison de brique afin d'y mettre en sécurité les 3 petits cochons avant que le loup ne les ait attrapés et mis dans la marmite. Un jeu idéal pour les petits qui s'allient pour gagner contre le loup.,https://cdn3.philibertnet.com/455854-large_default/woolfy.jpg
Celestia,Blam!,"Dans Célestia, embarquez dans un aéronef avec une équipe d'aventuriers pour effectuer de nombreux voyages dans les cités de Celestia et récupérer leurs merveilleux trésors.",https://cdn2.philibertnet.com/343788-thickbox_default/celestia.jpg
Smile Life,Smile Life,"Soyez le plus heureux ! Smile Life consiste à faire et réussir sa vie. Les cartes représentent pour cela des événements liés aux domaines professionnel et personnel : amour, argent, famille, études, carrière, etc. Chaque joueur tâchera d’obtenir les meilleures cartes pour bâtir sa situation et  être le plus heureux possible. Sans épargner les autres pour autant... Posez des cartes face à vous pour faire votre vie. Les smiles, inscrits en haut à gauche des cartes posées, indiquent votre niveau de bonheur. Le but du jeu est d’en avoir le plus possible. Le jeu s’arrête quand la pioche est finie",https://cdn3.philibertnet.com/448513-large_default/smile-life.jpg
Ligretto,Schmidt Spiele,Jouer à en faire voler les cartes !  On ne saurait être plus rapide ! Un jeu de cartes turbulent qui ne devrait manquer chez aucun amateur de jeux. Tous les joueurs essaient en même temps de placer autant de cartes de la même couleur que possible en respectant l'ordre roissant de 1 à 10.,https://cdn2.philibertnet.com/389677-large_default/ligretto-vert.jpg
Très futé !,Schmidt Spiele,"Très futé est un jeu de dés, de combinaisons et de prise de risque. Lancez les dés et cochez les bonnes cases qui vous permettront de débloquer les bonus indispensables à votre victoire !",https://cdn3.philibertnet.com/405200-large_default/tres-fute-.jpg
Le bois des Couadsous,Jeux Opla,"On est des Couadsous, et on doit se souvenir du chemin qui conduit à nos noisettes planquées l’automne dernier.",https://cdn1.philibertnet.com/342471-large_default/le-bois-des-couadsous.jpg
